Region,UTC Date,Buy Price
NA,2015-04-07 17:12:38,30000
NA,2015-04-07 18:13:33,30300
NA,2015-04-07 19:04:38,30603
NA,2015-04-07 20:04:01,30909
NA,2015-04-07 21:04:33,31218
NA,2015-04-07 22:04:02,30906
NA,2015-04-07 23:04:33,31215
NA,2015-04-08 00:04:38,30903
NA,2015-04-08 01:04:37,29685
NA,2015-04-08 01:34:38,29094
NA,2015-04-08 02:04:02,28515
NA,2015-04-08 02:34:33,27948
NA,2015-04-08 03:04:38,27392
NA,2015-04-08 03:19:39,27118
NA,2015-04-08 03:34:40,26847
NA,2015-04-08 03:49:38,26579
NA,2015-04-08 04:04:39,26313
NA,2015-04-08 04:19:38,26050
NA,2015-04-08 04:34:02,25790
NA,2015-04-08 04:49:33,25532
NA,2015-04-08 05:04:37,25277
NA,2015-04-08 05:19:01,25024
NA,2015-04-08 06:19:33,24774
NA,2015-04-08 07:19:01,24526
NA,2015-04-08 08:19:33,24281
NA,2015-04-08 09:19:38,24038
NA,2015-04-08 10:19:00,23798
NA,2015-04-08 11:19:34,23560
NA,2015-04-08 13:04:01,23324
NA,2015-04-08 13:19:32,23091
NA,2015-04-08 14:19:33,22860
NA,2015-04-08 15:19:37,22631
NA,2015-04-08 16:19:34,22405
NA,2015-04-08 17:19:38,22181
NA,2015-04-08 18:19:39,21959
NA,2015-04-08 19:19:38,21739
NA,2015-04-08 20:19:39,21522
NA,2015-04-08 21:19:39,21307
NA,2015-04-08 22:19:39,21094
NA,2015-04-08 23:19:38,20883
NA,2015-04-09 00:34:39,20674
NA,2015-04-09 01:19:40,20467
NA,2015-04-09 02:19:38,20370
NA,2015-04-09 03:19:39,20574
NA,2015-04-09 04:19:39,20780
NA,2015-04-09 05:19:38,20988
NA,2015-04-09 06:19:34,21198
NA,2015-04-09 07:19:34,21410
NA,2015-04-09 08:19:38,21624
NA,2015-04-09 09:19:39,21840
NA,2015-04-09 10:19:01,22058
NA,2015-04-09 11:19:38,22279
NA,2015-04-09 12:19:01,22502
NA,2015-04-09 13:19:38,22727
NA,2015-04-09 14:19:38,22954
NA,2015-04-09 15:19:00,23184
NA,2015-04-09 16:19:39,23416
NA,2015-04-09 17:19:40,23650
NA,2015-04-09 18:19:39,23887
NA,2015-04-09 19:19:34,24126
NA,2015-04-09 20:19:39,24367
NA,2015-04-09 21:19:39,24611
NA,2015-04-09 22:19:39,24857
NA,2015-04-09 23:19:39,25106
NA,2015-04-10 00:19:38,25357
NA,2015-04-10 01:19:38,25611
NA,2015-04-10 02:19:34,25867
NA,2015-04-10 03:19:39,26126
NA,2015-04-10 04:19:40,26387
NA,2015-04-10 05:19:38,26651
NA,2015-04-10 06:19:39,26918
NA,2015-04-10 07:19:39,26977
NA,2015-04-10 08:19:40,26753
NA,2015-04-10 09:19:39,26485
NA,2015-04-10 10:19:40,26220
NA,2015-04-10 11:19:38,25958
NA,2015-04-10 12:19:39,25698
NA,2015-04-10 13:19:39,25441
NA,2015-04-10 14:19:43,25187
NA,2015-04-10 15:19:44,24935
NA,2015-04-10 16:34:38,24686
NA,2015-04-10 17:19:38,24439
NA,2015-04-10 18:19:37,24195
NA,2015-04-10 19:19:38,23953
NA,2015-04-10 20:42:55,23713
NA,2015-04-11 00:27:24,22779
NA,2015-04-11 01:40:06,22551
NA,2015-04-11 02:18:12,22325
NA,2015-04-11 03:18:11,22102
NA,2015-04-11 04:18:10,21881
NA,2015-04-11 05:18:10,21662
NA,2015-04-11 06:18:11,21445
NA,2015-04-11 07:18:11,21659
NA,2015-04-11 08:18:11,21876
NA,2015-04-11 09:18:11,22095
NA,2015-04-11 10:18:11,22316
NA,2015-04-11 11:18:10,22539
NA,2015-04-11 12:18:12,22764
NA,2015-04-11 13:18:11,22992
NA,2015-04-11 14:18:12,23222
NA,2015-04-11 15:18:11,23454
NA,2015-04-11 16:18:11,23689
NA,2015-04-11 17:18:10,23926
NA,2015-04-11 18:18:10,24165
NA,2015-04-11 19:18:11,24407
NA,2015-04-11 20:18:11,24260
NA,2015-04-11 21:18:11,24017
NA,2015-04-11 22:18:10,23777
NA,2015-04-11 23:18:10,23539
NA,2015-04-12 00:18:12,23304
NA,2015-04-12 01:18:12,23071
NA,2015-04-12 02:18:12,22840
NA,2015-04-12 03:18:11,22612
NA,2015-04-12 04:18:11,22386
NA,2015-04-12 05:18:12,22162
NA,2015-04-12 06:18:11,21940
NA,2015-04-12 07:18:11,21721
NA,2015-04-12 08:18:11,21504
NA,2015-04-12 09:18:11,21289
NA,2015-04-12 10:18:11,21076
NA,2015-04-12 11:18:11,20865
NA,2015-04-12 12:18:11,20656
NA,2015-04-12 13:18:11,20863
NA,2015-04-12 14:18:10,21072
NA,2015-04-12 15:18:12,21283
NA,2015-04-12 16:18:11,21496
NA,2015-04-12 17:18:10,21711
NA,2015-04-12 18:18:10,21928
NA,2015-04-12 19:18:11,22147
NA,2015-04-12 20:18:12,22368
NA,2015-04-12 21:18:11,22592
NA,2015-04-12 22:18:11,22818
NA,2015-04-12 23:18:11,23046
NA,2015-04-13 00:18:12,23276
NA,2015-04-13 01:18:12,23509
NA,2015-04-13 02:18:11,23744
NA,2015-04-13 03:18:12,23549
NA,2015-04-13 04:18:10,23314
NA,2015-04-13 05:18:10,23081
NA,2015-04-13 06:18:11,22850
NA,2015-04-13 07:18:12,22622
NA,2015-04-13 08:18:11,22396
NA,2015-04-13 09:18:11,22172
NA,2015-04-13 10:18:12,21950
NA,2015-04-13 11:18:10,21731
NA,2015-04-13 12:18:10,21514
NA,2015-04-13 13:18:12,21299
NA,2015-04-13 14:18:10,21239
NA,2015-04-13 15:18:11,21451
NA,2015-04-13 16:18:11,21666
NA,2015-04-13 17:18:12,21883
NA,2015-04-13 18:18:11,22102
NA,2015-04-13 19:18:11,22323
NA,2015-04-13 20:18:11,22546
NA,2015-04-13 21:18:11,22771
NA,2015-04-13 22:18:11,22999
NA,2015-04-13 23:18:10,23229
NA,2015-04-14 00:18:11,23461
NA,2015-04-14 01:18:10,23694
NA,2015-04-14 02:18:11,23457
NA,2015-04-14 03:18:11,23222
NA,2015-04-14 04:18:10,22990
NA,2015-04-14 05:18:10,22760
NA,2015-04-14 06:18:12,22532
NA,2015-04-14 07:18:12,22307
NA,2015-04-14 08:18:11,22084
NA,2015-04-14 09:18:12,21863
NA,2015-04-14 10:18:12,21644
NA,2015-04-14 11:18:11,21428
NA,2015-04-14 12:48:11,21214
NA,2015-04-14 13:48:10,21141
NA,2015-04-14 14:48:11,21352
NA,2015-04-14 15:48:10,21566
NA,2015-04-14 16:48:11,21782
NA,2015-04-14 17:48:11,22000
NA,2015-04-14 18:48:11,22220
NA,2015-04-14 19:48:11,22442
NA,2015-04-14 20:48:12,22666
NA,2015-04-14 21:48:11,22893
NA,2015-04-14 22:48:11,23122
NA,2015-04-14 23:48:11,23353
NA,2015-04-15 00:48:12,23587
NA,2015-04-15 01:48:11,23823
NA,2015-04-15 02:48:12,24061
NA,2015-04-15 03:48:11,24232
NA,2015-04-15 04:48:11,24310
NA,2015-04-15 05:48:11,24194
NA,2015-04-15 06:48:11,24004
NA,2015-04-15 07:48:11,23764
NA,2015-04-15 08:48:11,23526
NA,2015-04-15 09:48:11,23291
NA,2015-04-15 10:48:11,23058
NA,2015-04-15 11:48:10,22827
NA,2015-04-15 12:48:10,22599
NA,2015-04-15 13:48:11,22373
NA,2015-04-15 14:48:10,22149
NA,2015-04-15 15:48:11,21928
NA,2015-04-15 16:48:10,21709
NA,2015-04-15 17:48:10,21492
NA,2015-04-15 18:48:11,21356
NA,2015-04-15 19:48:10,21341
NA,2015-04-15 20:48:10,21430
NA,2015-04-15 21:48:11,21624
NA,2015-04-15 22:48:10,21840
NA,2015-04-15 23:48:12,22058
NA,2015-04-16 00:48:11,22279
NA,2015-04-16 01:48:10,22502
NA,2015-04-16 02:48:10,22727
NA,2015-04-16 03:48:10,22954
NA,2015-04-16 04:48:11,23184
NA,2015-04-16 05:48:11,23416
NA,2015-04-16 06:48:11,23650
NA,2015-04-16 07:48:12,23887
NA,2015-04-16 08:48:11,24067
NA,2015-04-16 09:48:10,24205
NA,2015-04-16 10:48:11,24303
NA,2015-04-16 11:48:10,24382
NA,2015-04-16 12:48:11,24407
NA,2015-04-16 13:48:12,24359
NA,2015-04-16 14:48:12,24180
NA,2015-04-16 15:48:10,23938
NA,2015-04-16 16:48:11,23699
NA,2015-04-16 17:48:11,23462
NA,2015-04-16 18:48:11,23227
NA,2015-04-16 19:48:11,22995
NA,2015-04-16 20:48:10,22765
NA,2015-04-16 21:48:11,22537
NA,2015-04-16 22:48:11,22312
NA,2015-04-16 23:48:11,22089
NA,2015-04-17 00:48:11,21868
NA,2015-04-17 01:48:10,21649
NA,2015-04-17 02:48:11,21433
NA,2015-04-17 03:48:10,21306
NA,2015-04-17 04:48:10,21376
NA,2015-04-17 05:48:11,21590
NA,2015-04-17 06:48:11,21806
NA,2015-04-17 07:48:11,22024
NA,2015-04-17 08:48:10,22244
NA,2015-04-17 09:48:10,22466
NA,2015-04-17 10:48:11,22691
NA,2015-04-17 11:48:10,22918
NA,2015-04-17 12:48:10,23147
NA,2015-04-17 13:48:11,23378
NA,2015-04-17 14:48:11,23612
NA,2015-04-17 15:48:11,23836
NA,2015-04-17 16:48:12,24011
